,fens,moves,target_moves,LEGAL_MOVES
124,r1b1kb1r/pp1pQppp/2p5/8/4n3/7N/PPPP1PPP/RNB1K2R b KQkq - 0 9,e5e7,f8e7,"['e8e7', 'f8e7', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
125,r1b1k2r/pp1pbppp/2p5/8/4n3/7N/PPPP1PPP/RNB1K2R w KQkq - 0 10,f8e7,d2d3,"['h3g5', 'h3f4', 'h3g1', 'h1g1', 'h1f1', 'e1e2', 'e1f1', 'e1d1', 'b1c3', 'b1a3', 'e1g1', 'g2g3', 'f2f3', 'd2d3', 'c2c3', 'b2b3', 'a2a3', 'g2g4', 'f2f4', 'd2d4', 'c2c4', 'b2b4', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
126,r1b1k2r/pp1pbppp/2p5/8/4n3/5P1N/PPPP2PP/RNB1K2R b KQkq - 0 10,f2f3,e4d6,"['h8g8', 'h8f8', 'e8f8', 'e8d8', 'a8b8', 'e7f8', 'e7d8', 'e7f6', 'e7d6', 'e7g5', 'e7c5', 'e7h4', 'e7b4', 'e7a3', 'e4f6', 'e4d6', 'e4g5', 'e4c5', 'e4g3', 'e4c3', 'e4f2', 'e4d2', 'e8g8', 'h7h6', 'g7g6', 'f7f6', 'd7d6', 'b7b6', 'a7a6', 'c6c5', 'h7h5', 'g7g5', 'f7f5', 'd7d5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
127,r1b1k2r/pp1pbppp/2p2n2/8/8/5P1N/PPPP2PP/RNB1K2R w KQkq - 1 11,e4f6,h3f4,"['h3g5', 'h3f4', 'h3f2', 'h3g1', 'h1g1', 'h1f1', 'e1f2', 'e1e2', 'e1f1', 'e1d1', 'b1c3', 'b1a3', 'e1g1', 'f3f4', 'g2g3', 'd2d3', 'c2c3', 'b2b3', 'a2a3', 'g2g4', 'd2d4', 'c2c4', 'b2b4', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
128,r1b1k2r/pp1pbppp/2p2n2/8/3P4/5P1N/PPP3PP/RNB1K2R b KQkq - 0 11,d2d4,d7d5,"['h8g8', 'h8f8', 'e8f8', 'e8d8', 'a8b8', 'e7f8', 'e7d8', 'e7d6', 'e7c5', 'e7b4', 'e7a3', 'f6g8', 'f6h5', 'f6d5', 'f6g4', 'f6e4', 'e8g8', 'h7h6', 'g7g6', 'd7d6', 'b7b6', 'a7a6', 'c6c5', 'h7h5', 'g7g5', 'd7d5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
129,r1b2rk1/pp1pbppp/2p2n2/8/3P4/5P1N/PPP3PP/RNB1K2R w KQ - 1 12,e8g8,h3f4,"['h3g5', 'h3f4', 'h3f2', 'h3g1', 'h1g1', 'h1f1', 'e1f2', 'e1e2', 'e1d2', 'e1f1', 'e1d1', 'c1h6', 'c1g5', 'c1f4', 'c1e3', 'c1d2', 'b1c3', 'b1a3', 'b1d2', 'e1g1', 'd4d5', 'f3f4', 'g2g3', 'c2c3', 'b2b3', 'a2a3', 'g2g4', 'c2c4', 'b2b4', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
130,r1b2rk1/pp1pbppp/2p2n2/6B1/3P4/5P1N/PPP3PP/RN2K2R b KQ - 2 12,c1g5,f8e8,"['g8h8', 'f8e8', 'f8d8', 'a8b8', 'e7d8', 'e7d6', 'e7c5', 'e7b4', 'e7a3', 'f6e8', 'f6h5', 'f6d5', 'f6g4', 'f6e4', 'h7h6', 'g7g6', 'd7d6', 'b7b6', 'a7a6', 'c6c5', 'h7h5', 'd7d5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
131,r1b1r1k1/pp1pbppp/2p2n2/6B1/3P4/5P1N/PPP3PP/RN2K2R w KQ - 3 13,f8e8,e1g1,"['g5h6', 'g5f6', 'g5h4', 'g5f4', 'g5e3', 'g5d2', 'g5c1', 'h3f4', 'h3f2', 'h3g1', 'h1g1', 'h1f1', 'e1f2', 'e1e2', 'e1d2', 'e1f1', 'e1d1', 'b1c3', 'b1a3', 'b1d2', 'e1g1', 'd4d5', 'f3f4', 'g2g3', 'c2c3', 'b2b3', 'a2a3', 'g2g4', 'c2c4', 'b2b4', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
132,r1b1r1k1/pp1pbppp/2p2B2/8/3P4/5P1N/PPP3PP/RN2K2R b KQ - 0 13,g5f6,e7f6,"['g8h8', 'g8f8', 'e8f8', 'e8d8', 'a8b8', 'e7f8', 'e7d8', 'e7f6', 'e7d6', 'e7c5', 'e7b4', 'e7a3', 'g7f6', 'h7h6', 'g7g6', 'd7d6', 'b7b6', 'a7a6', 'c6c5', 'h7h5', 'g7g5', 'd7d5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
133,r1b1r1k1/pp1p1ppp/2p2B2/8/1b1P4/5P1N/PPP3PP/RN2K2R w KQ - 1 14,e7b4,e1f2,"['e1f2', 'e1f1', 'e1d1', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
134,r1b1r1k1/pp1p1ppp/2p2B2/8/1b1P4/5P1N/PPP3PP/RN1K3R b - - 2 14,e1d1,g7f6,"['g8h8', 'g8f8', 'e8f8', 'e8d8', 'e8e7', 'e8e6', 'e8e5', 'e8e4', 'e8e3', 'e8e2', 'e8e1', 'a8b8', 'b4f8', 'b4e7', 'b4d6', 'b4c5', 'b4a5', 'b4c3', 'b4a3', 'b4d2', 'b4e1', 'g7f6', 'h7h6', 'g7g6', 'd7d6', 'b7b6', 'a7a6', 'c6c5', 'h7h5', 'g7g5', 'd7d5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
135,r1b1r1k1/pp1p1p1p/2p2p2/8/1b1P4/5P1N/PPP3PP/RN1K3R w - - 0 15,g7f6,h3f4,"['h3g5', 'h3f4', 'h3f2', 'h3g1', 'h1g1', 'h1f1', 'h1e1', 'd1c1', 'b1c3', 'b1a3', 'b1d2', 'd4d5', 'f3f4', 'g2g3', 'c2c3', 'b2b3', 'a2a3', 'g2g4', 'c2c4', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
136,r1b1r1k1/pp1p1p1p/2p2p2/8/1b1P4/2N2P1N/PPP3PP/R2K3R b - - 1 15,b1c3,d7d5,"['g8h8', 'g8f8', 'g8g7', 'e8f8', 'e8d8', 'e8e7', 'e8e6', 'e8e5', 'e8e4', 'e8e3', 'e8e2', 'e8e1', 'a8b8', 'b4f8', 'b4e7', 'b4d6', 'b4c5', 'b4a5', 'b4c3', 'b4a3', 'h7h6', 'd7d6', 'b7b6', 'a7a6', 'f6f5', 'c6c5', 'h7h5', 'd7d5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
137,r1b1r1k1/pp1p1p1p/2p2p2/8/3P4/2b2P1N/PPP3PP/R2K3R w - - 0 16,b4c3,b2c3,"['h3g5', 'h3f4', 'h3f2', 'h3g1', 'h1g1', 'h1f1', 'h1e1', 'd1c1', 'a1c1', 'a1b1', 'b2c3', 'd4d5', 'f3f4', 'g2g3', 'b2b3', 'a2a3', 'g2g4', 'b2b4', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
138,r1b1r1k1/pp1p1p1p/2p2p2/8/3P4/2P2P1N/P1P3PP/R2K3R b - - 0 16,b2c3,b7b6,"['g8h8', 'g8f8', 'g8g7', 'e8f8', 'e8d8', 'e8e7', 'e8e6', 'e8e5', 'e8e4', 'e8e3', 'e8e2', 'e8e1', 'a8b8', 'h7h6', 'd7d6', 'b7b6', 'a7a6', 'f6f5', 'c6c5', 'h7h5', 'd7d5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
139,r1b1r1k1/pp3p1p/2p2p2/3p4/3P4/2P2P1N/P1P3PP/R2K3R w - - 0 17,d7d5,h3f4,"['h3g5', 'h3f4', 'h3f2', 'h3g1', 'h1g1', 'h1f1', 'h1e1', 'd1d2', 'd1c1', 'a1c1', 'a1b1', 'f3f4', 'c3c4', 'g2g3', 'a2a3', 'g2g4', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
140,r1b1r1k1/pp3p1p/2p2p2/3p4/3P4/2P2P1N/P1P3PP/R2KR3 b - - 1 17,h1e1,c8h3,"['g8h8', 'g8f8', 'g8g7', 'e8f8', 'e8d8', 'e8e7', 'e8e6', 'e8e5', 'e8e4', 'e8e3', 'e8e2', 'e8e1', 'c8d7', 'c8e6', 'c8f5', 'c8g4', 'c8h3', 'a8b8', 'h7h6', 'b7b6', 'a7a6', 'f6f5', 'c6c5', 'h7h5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
141,r3r1k1/pp3p1p/2p2p2/3p4/3P4/2P2P1b/P1P3PP/R2KR3 w - - 0 18,c8h3,g2h3,"['e1e8', 'e1e7', 'e1e6', 'e1e5', 'e1e4', 'e1e3', 'e1e2', 'e1h1', 'e1g1', 'e1f1', 'd1d2', 'd1c1', 'a1c1', 'a1b1', 'g2h3', 'f3f4', 'c3c4', 'g2g3', 'a2a3', 'g2g4', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
142,r3R1k1/pp3p1p/2p2p2/3p4/3P4/2P2P1b/P1P3PP/R2K4 b - - 0 18,e1e8,a8e8,"['g8g7', 'a8e8', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
143,4r1k1/pp3p1p/2p2p2/3p4/3P4/2P2P1b/P1P3PP/R2K4 w - - 0 19,a8e8,g2h3,"['d1d2', 'd1c1', 'a1c1', 'a1b1', 'g2h3', 'f3f4', 'c3c4', 'g2g3', 'a2a3', 'g2g4', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
144,4r1k1/pp3p1p/2p2p2/3p4/3P4/2P2P1P/P1P4P/R2K4 b - - 0 19,g2h3,e8e3,"['g8h8', 'g8f8', 'g8g7', 'e8f8', 'e8d8', 'e8c8', 'e8b8', 'e8a8', 'e8e7', 'e8e6', 'e8e5', 'e8e4', 'e8e3', 'e8e2', 'e8e1', 'h7h6', 'b7b6', 'a7a6', 'f6f5', 'c6c5', 'h7h5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
145,6k1/pp3p1p/2p2p2/3p4/3P4/2P1rP1P/P1P4P/R2K4 w - - 1 20,e8e3,a1b1,"['d1d2', 'd1c1', 'a1c1', 'a1b1', 'h3h4', 'f3f4', 'c3c4', 'a2a3', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
146,6k1/pp3p1p/2p2p2/3p4/3P4/2P1rP1P/P1PK3P/R7 b - - 2 20,d1d2,e3f3,"['g8h8', 'g8f8', 'g8g7', 'e3e8', 'e3e7', 'e3e6', 'e3e5', 'e3e4', 'e3f3', 'e3d3', 'e3c3', 'e3e2', 'e3e1', 'h7h6', 'b7b6', 'a7a6', 'f6f5', 'c6c5', 'h7h5', 'b7b5', 'a7a5', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
147,6k1/pp3p1p/2p2p2/3p4/3P4/2P2r1P/P1PK3P/R7 w - - 0 21,e3f3,c3c4,"['d2e2', 'd2e1', 'd2d1', 'd2c1', 'a1h1', 'a1g1', 'a1f1', 'a1e1', 'a1d1', 'a1c1', 'a1b1', 'h3h4', 'c3c4', 'a2a3', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
148,6k1/pp3p1p/2p2p2/3p4/3P4/2P2r1P/P1PK3P/6R1 b - - 1 21,a1g1,g8f8,"['g8h8', 'g8f8', 'f3g3', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
149,5k2/pp3p1p/2p2p2/3p4/3P4/2P2r1P/P1PK3P/6R1 w - - 2 22,g8f8,g1b1,"['d2e2', 'd2e1', 'd2d1', 'd2c1', 'g1g8', 'g1g7', 'g1g6', 'g1g5', 'g1g4', 'g1g3', 'g1g2', 'g1h1', 'g1f1', 'g1e1', 'g1d1', 'g1c1', 'g1b1', 'g1a1', 'h3h4', 'c3c4', 'a2a3', 'a2a4', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end', 'end']"
